Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000Am1M6DospprFmK4Jt4,15/09/2024,07:45:58,Card payment,Sainsbury’s,🍏,Groceries,0.00,GBP,0.00,GBP,Active card check,ARNDALE CENTRE,,SAINSBURYS             LONDON        GBR,,0.00,
tx_0000Am1oLZMxnFNGVZwxfd,15/09/2024,13:02:29,Pot transfer,Monthly Money Pot,,Savings,100.00,GBP,100.00,GBP,,,,,,,100.00
tx_0000Am1oPgom2doLeusZIB,15/09/2024,13:03:13,Card payment,Squarespace,💻,General,0.00,GBP,0.00,USD,Active card check,,,SQUARESPACE INC.       NEW YORK      USA,,0.00,
tx_0000Am1oRAmq6VRUK3u1XF,15/09/2024,13:03:30,Card payment,Sqsp Inv149696583,💻,General,-13.44,GBP,-13.44,GBP,,225 Varick St,,SQSP* INV149696583     NEW YORK      USA,,-13.44,
tx_0000Am1rUjpMa03tuswqQL,15/09/2024,13:37:45,Card payment,Sainsbury’s,🍏,Groceries,-126.75,GBP,-126.75,GBP,,ARNDALE CENTRE,,SAINSBURYS             LONDON        GBR,,-126.75,
tx_0000Am3I399RiyDgrbfNc9,16/09/2024,06:10:01,Card payment,Virgin Media,☎️,Entertainment,-65.16,GBP,-65.16,GBP,,Bartley Wood Business Par,,VIRGIN MEDIA PYMTS E15 READING       GBR,,-65.16,
tx_0000Am3SdT7zvbbyjYuVof,16/09/2024,08:08:38,Card payment,GAIL's Bakery,🍞,Eating out,-3.90,GBP,-3.90,GBP,,28 York Road,,GAILS - SOUTHBANK PLAC LONDON        GBR,,-3.90,
tx_0000Am3d9eqOtzKHYJQ7EX,16/09/2024,10:06:30,Card payment,J And R Kiosk,🍎,Groceries,-2.30,GBP,-2.30,GBP,,"1 Booking Office, Chancery Lane",,J and R Kiosk          London        GBR,,-2.30,
tx_0000Am4BLGnPXFkWFQZ4Py,16/09/2024,16:29:34,Card payment,Adobe,💻,Bills,-19.97,GBP,-19.97,GBP,,,,Adobe                  ADOBE.LY/BILL IRL,,-19.97,
tx_0000Am4bH3STmQXyFtQBlq,16/09/2024,21:20:08,Card payment,EE,📠,Bills,-9.00,GBP,-9.00,GBP,,,,EE TOPUP  VESTA        EE.CO.UK      GBR,,-9.00,
